Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
Type: INFO, Class: br.com.eleicoestransparentes.parsers.ParserCandidato, Message: Realizando parsing.
